username,e_positive,e_negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
yulfaariza,1.994,1.425,0.450,0.782,0.226,0.474,0.812,0.687,0.493,0.932
Rohanahrey,2.533,1.104,0.245,1.006,0.256,0.494,1.083,0.535,0.438,1.317
Sekarumn,2.994,1.726,0.448,1.320,0.556,0.710,1.415,0.702,0.937,1.339
Joeniararief,3.220,1.309,0.502,1.302,0.381,0.615,1.641,0.577,0.489,1.846
Linggaralfi,2.110,1.025,0.213,1.033,0.270,0.400,1.054,0.387,0.631,1.161
hlutami,2.769,1.328,0.420,1.183,0.244,0.431,1.296,0.472,0.694,1.229
R_fiika,2.621,1.887,0.462,1.212,0.451,0.739,1.099,0.779,0.606,1.283
hidadahida,1.183,0.868,0.285,0.476,0.198,0.322,0.551,0.312,0.431,0.511
iphune,2.404,1.246,0.395,1.093,0.293,0.502,1.191,0.635,0.430,1.270
vanillasvgar,2.209,1.078,0.156,1.379,0.230,0.343,1.170,0.521,0.924,0.787
kodelle_,2.724,1.484,0.418,1.516,0.376,0.675,1.503,0.654,0.823,1.117
Strybycy,2.118,1.198,0.310,0.891,0.232,0.475,1.091,0.523,0.474,1.163
Phoebee_ip,2.568,2.036,0.603,1.164,0.604,0.883,1.140,0.961,0.463,1.171
kalisnakal,2.025,1.421,0.314,1.095,0.218,0.482,0.988,0.483,0.646,0.872
rpdelimaa,2.581,1.549,0.339,1.345,0.282,0.496,1.253,0.630,0.588,0.938
Iffamee,2.569,2.063,0.569,1.265,0.531,0.895,1.235,0.800,0.449,1.332
Lulufrdni,1.502,1.179,0.280,0.807,0.281,0.421,0.855,0.551,0.394,0.724
shelfiw,2.349,1.237,0.222,1.134,0.150,0.398,1.068,0.472,0.632,0.713
adityosusanto_,2.101,1.198,0.312,0.712,0.268,0.460,0.757,0.441,0.281,1.107
grestina,1.502,0.620,0.141,0.694,0.167,0.167,0.754,0.254,0.412,0.670
yuaaayy,1.484,0.734,0.185,0.828,0.217,0.336,0.720,0.399,0.268,0.761
nneninot1996,2.692,1.233,0.286,1.270,0.240,0.440,1.334,0.508,0.667,1.064
taritahir,2.091,1.307,0.463,1.096,0.301,0.454,1.178,0.488,0.668,0.769
Shafiraara,1.793,0.794,0.190,0.690,0.175,0.288,0.874,0.430,0.728,0.595
dzakyhaidar__,2.487,1.381,0.509,1.455,0.372,0.657,1.241,0.600,0.858,0.922
granweastery,2.172,0.726,0.184,1.246,0.102,0.278,1.220,0.348,0.982,0.640
yuuta__96,2.308,0.886,0.264,1.173,0.280,0.324,1.208,0.388,0.862,0.799
egabetari,2.387,1.276,0.388,1.078,0.222,0.608,0.948,0.577,0.641,1.163
lailapurnamas,2.425,1.332,0.525,0.905,0.272,0.467,1.190,0.503,0.680,1.083
IndrasZLaila,2.094,0.394,0.103,0.722,0.114,0.138,0.792,0.152,0.560,1.119
Devaina,2.207,1.260,0.180,1.043,0.245,0.347,0.891,0.531,0.364,0.976
Nidakarin,1.116,0.601,0.131,0.388,0.175,0.152,0.437,0.282,0.210,0.534
fitriindy,3.003,1.944,0.715,0.968,0.457,0.849,1.401,0.826,0.634,1.824
Isnanarahma,2.840,1.729,0.604,1.489,0.411,0.701,1.501,0.672,0.384,1.666
pinochiao,1.133,0.516,0.274,0.500,0.232,0.129,0.539,0.204,0.253,0.796
ramdaneinstein,1.707,0.523,0.170,0.497,0.193,0.213,0.555,0.259,0.270,1.194
effendisgurl,2.596,2.007,0.579,1.434,0.484,0.702,1.210,0.768,0.517,1.245
mi_chiamo_joel,2.390,1.500,0.534,0.962,0.390,0.762,1.204,0.534,0.867,1.035
sfaui,1.020,0.448,0.165,0.392,0.109,0.175,0.664,0.164,0.293,0.359
dikmabelarosa,3.136,1.661,0.448,1.340,0.401,0.661,1.373,0.752,0.641,1.697
zea_mays07,2.835,1.398,0.441,1.318,0.268,0.661,1.082,0.630,0.514,1.322
Ni,1.254,0.676,0.265,0.580,0.245,0.370,0.507,0.275,0.233,0.570
okkyskripsi,1.673,1.093,0.410,0.892,0.328,0.475,0.908,0.523,0.467,0.956
NopiyNovi,2.367,1.595,0.458,1.295,0.468,0.516,1.269,0.718,0.679,0.978
artikakristi,2.587,1.163,0.282,1.143,0.295,0.395,1.245,0.531,0.471,1.220
ferrafbryn,2.042,1.222,0.315,1.094,0.304,0.510,0.997,0.515,0.709,0.852
amalinafitrah,1.694,0.799,0.178,0.809,0.145,0.273,0.877,0.393,0.324,0.971
salsabilabia,1.959,1.098,0.253,0.934,0.173,0.443,0.974,0.436,0.761,0.732
Indomilk,1.818,0.487,0.070,0.751,0.110,0.164,0.872,0.185,0.231,0.698
ibnubons,2.698,1.038,0.293,0.996,0.254,0.284,1.165,0.353,0.599,0.942
wequte,1.270,0.748,0.277,0.451,0.243,0.363,0.464,0.361,0.218,0.719
jehademusa,2.842,2.088,0.899,1.059,0.675,0.912,0.924,0.710,0.394,2.031
qthrnnada,2.094,0.977,0.157,0.816,0.232,0.175,1.044,0.440,0.318,0.757
Hapsarihn,2.103,1.281,0.339,1.098,0.186,0.377,0.985,0.608,0.585,0.933
chuggingtonn,2.271,1.873,0.685,0.810,0.567,0.764,0.921,0.868,0.343,1.607
naurakh,2.263,1.490,0.325,0.946,0.385,0.610,1.087,0.670,0.701,0.816
atikapuspi,2.187,1.213,0.291,0.785,0.217,0.493,0.910,0.536,0.315,1.006
kissst__,0.815,0.635,0.192,0.349,0.177,0.155,0.305,0.253,0.159,0.382
Fitripratiwi_pn,2.397,1.459,0.365,1.331,0.342,0.530,1.249,0.679,0.742,1.001
Penguntitkmvrt,2.718,1.418,0.363,1.225,0.331,0.503,1.223,0.614,0.690,1.149
Agustinurfika,2.470,1.138,0.283,1.016,0.326,0.344,1.369,0.493,0.315,1.176
LenteeraMerahh,2.608,1.201,0.432,1.224,0.357,0.561,1.368,0.564,0.920,0.926
inimella1,2.005,1.361,0.378,1.069,0.281,0.584,1.152,0.530,0.835,0.862
adamumemo,2.950,1.884,0.608,1.298,0.601,1.073,1.278,0.619,0.919,1.395
astridvivianni,1.803,0.562,0.128,0.792,0.113,0.201,0.882,0.249,0.559,0.887
ath_tobe,2.057,1.322,0.396,1.138,0.317,0.561,0.955,0.516,0.232,1.047
benrskbyg,1.972,0.778,0.224,0.629,0.250,0.256,0.587,0.317,0.447,1.229
boboxsiang,2.030,1.609,0.621,0.900,0.439,0.659,1.015,0.721,0.216,1.243
bojaktempur,2.398,1.364,0.426,1.134,0.508,0.626,1.315,0.482,0.706,1.175
citora_,2.209,0.956,0.281,1.041,0.228,0.220,1.078,0.412,0.621,0.959
dannytandean,1.849,0.727,0.174,1.140,0.153,0.447,1.102,0.317,1.020,0.609
driddv,1.668,1.450,0.555,0.759,0.470,0.647,0.741,0.621,0.447,0.837
firmanoktaf,0.821,0.518,0.179,0.221,0.140,0.076,0.278,0.241,0.128,0.417
jundie_m,2.275,2.051,0.636,1.126,0.543,0.845,1.091,0.928,0.621,1.242
krisnawah,2.722,2.159,0.832,1.446,0.684,1.087,1.152,0.842,0.565,1.249
leoagung98,2.853,1.737,0.482,1.294,0.414,0.711,1.025,0.660,0.659,1.613
rahmanizar_,1.651,0.587,0.215,0.460,0.171,0.132,0.838,0.234,0.191,0.945
riskaadesuryani,2.039,1.304,0.383,1.176,0.319,0.521,0.800,0.534,0.448,0.987
semesta_human,2.797,1.724,0.498,1.307,0.383,0.650,1.234,0.675,0.481,1.342
siti_sr137,2.653,2.580,0.746,1.175,0.602,0.818,0.869,1.002,0.535,1.207
ariantipp,1.900,1.090,0.419,1.074,0.297,0.264,1.161,0.473,0.232,1.338
Betyratih,2.267,1.256,0.341,0.933,0.221,0.567,0.844,0.449,0.291,1.213
ClarisaHasya,2.216,1.549,0.270,1.014,0.351,0.618,1.175,0.577,0.972,0.697
Fhrz99,2.696,1.765,0.530,1.194,0.407,0.562,1.028,0.640,0.476,1.236
fridamayanti,2.256,1.801,0.330,0.960,0.461,0.625,0.804,0.774,0.571,0.912
Esjaeruk,2.345,1.347,0.487,1.219,0.362,0.778,1.308,0.499,0.759,0.915
igonovaldi,2.269,1.781,0.473,1.070,0.472,0.716,1.065,0.702,0.706,0.937
Juliepuspita01,2.654,1.614,0.590,0.983,0.411,0.529,1.318,0.598,0.480,1.563
khelian_ni_s,2.823,1.517,0.600,1.181,0.307,0.537,1.296,0.525,0.393,1.563
Komalasari_ak,2.071,1.290,0.310,0.877,0.286,0.482,0.931,0.483,0.464,1.212
melyst94,2.759,1.080,0.347,0.948,0.248,0.484,1.102,0.396,0.477,1.586
nanasambara,2.352,0.644,0.147,0.840,0.154,0.231,0.763,0.308,0.175,1.295
niazmi_,2.150,0.966,0.239,0.743,0.249,0.330,0.725,0.467,0.236,1.300
pipaaw,1.845,0.578,0.127,0.568,0.217,0.160,0.890,0.250,0.696,0.811
Rotiisicoklat,2.289,1.456,0.452,0.807,0.353,0.517,1.005,0.623,0.426,1.094
salisnurk,2.299,1.158,0.252,0.985,0.232,0.445,0.751,0.507,0.278,1.412
Saraadaay,2.487,1.053,0.315,1.186,0.267,0.449,1.314,0.394,0.775,1.049
